    188,    280
    188,    268
    196,    275
    198,    280
    174,    294
    186,    277
    187,    270
    214,    281
    196,    300
    177,    296
    172,    276
    206,    265
    225,    275
    196,    260
    203,    246
    216,    250
    227,    266
    240,    270
    247,    265
    236,    278
    239,    297
    226,    297
    210,    308
    259,    288
    251,    277
    232,    290
    208,    284
    216,    293
    183,    305
    206,    309
    212,    316
    226,    317
    202,    325
    226,    324
    256,    299
    252,    306
    238,    310
    232,    250
    181,    313
    202,    307
    224,    302
    251,    271
    252,    261
    265,    249
    281,    236
    301,    226
    319,    212
    339,    232
    324,    250
    280,    261
    295,    242
    344,    226
    295,    269
    272,    261
    312,    268
    302,    277
    303,    277
    361,    259
    369,    243
    354,    257
    355,    266
    370,    240
    376,    220
    328,    242
    330,    278
    338,    275
    346,    261
    353,    238
    368,    222
    363,    243
    345,    265
    366,    258
    395,    200
    356,    187
    331,    198
    298,    215
    281,    221
    275,    245
    264,    260
    265,    270
    274,    266
    301,    261
    275,    274
    262,    280
    313,    275
    330,    273
    317,    278
    384,    229
    399,    212
    377,    254
    379,    268
    398,    237
    410,    217
    383,    252
    378,    204
    380,    183
    351,    188
    369,    197
    343,    212
    312,    228
    329,    234
    324,    250
    361,    228
    360,    220
    333,    249
    353,    244
    348,    250
    316,    258
    309,    234
    358,    272
    354,    287
    343,    285
